,0
LHX4,0
C4orf33,0
PRELP,0
C13orf30,3
ZNF423,0
FAM83D,0
COL11A2,10
FOXD1,5
ETV6,0
CACNG4,0
GABRB2,6
MBNL3,6
HIST1H2BL,0
SP110,0
EML6,5
TMEM88,0
HIST1H4H,1
SYPL1,0
LAP3,0
MYCL1,0
BCKDHA,1
NDP,0
XCL1,0
PUS7,5
KCNK1,0
GLIPR2,0
IL17RD,0
PLCH2,0
PIP4K2A,0
SGOL1,0
OR1Q1,0
TGFBR3,0
C12orf75,0
LRRC7,0
FAM5C,11
ABCC3,0
CHDH,0
KIF1A,0
COLEC12,0
KIAA1244,0
NTRK3,1
S100A8,1
ZNF300P1,0
MYT1L,0
TXNDC6,0
REEP2,0
ALDH5A1,0
PRKG1,1
BTG3,0
NCAM1,0
C5orf4,0
FAM46A,0
SLC22A5,0
TSHZ1,1
PVR,1
SATB2,0
TBL1X,5
CXorf59,0
FAM134B,0
SERPING1,0
RAB3A,0
PLBD1,0
TAF4B,3
TMBIM1,0
RHOBTB3,0
GSG1,0
CPS1,2
SCARNA5,3
WDR76,1
GMPPA,0
IRX6,1
EMID1,0
IGFBP4,2
LIN7A,1
ZNF252,0
SEMA3A,0
FMO2,0
DIAPH2,0
RAP1GAP,0
RNASE1,0
RASAL2,0
TMEM90B,0
PLAC8L1,5
IRAK3,0
ATP2B2,0
CDC7,0
CCDC80,12
SLC13A4,0
SHCBP1,0
EFHA2,0
VWC2L,0
NEUROD1,0
ARHGAP24,1
FHL2,0
SIK1,1
SLC14A1,0
LOC374491,1
TRAPPC1,5
SPHKAP,0
ADI1,0
TK1,0
KCNH6,0
MIR99A,1
PRKCA,0
DCLK3,0
COL4A2,0
RASEF,0
ZDHHC8P1,3
SLN,2
CYR61,1
SNAI2,4
LOC652493,1
CASQ2,0
ADCY5,1
PAX7,10
LAMC1,0
EPHB6,0
PPP1R3C,0
OLFM3,1
SMAD9,0
APBB2,0
DPYSL5,0
FRMPD4,3
CYP27A1,0
LOC100133106,0
LAMC3,0
RHOU,0
PEX5L,0
OLR1,0
FAM71F2,0
FANCB,0
TMEM205,1
TSPAN9,7
IL7R,5
SLC1A7,0
SCGN,3
ADAM22,0
DEXI,0
CSF1R,0
SBK1,0
SCARNA17,2
OR2AJ1,0
INSM1,0
THBD,4
OSBP2,0
PTHLH,0
STRADB,0
SELPLG,4
ULK4,1
GAS2,0
SLC6A6,0
MPPED1,0
TCF7L1,0
LRRC32,0
CPM,1
HDAC1,0
ANGPTL4,0
LOC401286,0
ABR,0
CNNM1,0
EXO1,0
GPR109B,0
ADCY1,0
PDE7B,0
GSG2,0
TBC1D12,1
NTM,1
DARC,0
PPL,2
EBF3,0
IFLTD1,7
SLC24A3,0
GJA1,0
IGFBPL1,0
LOC440993,8
C7orf54,0
NRG4,0
NTNG1,3
KCNB1,1
HDHD3,0
RPGRIP1,0
C1S,0
EFNB3,0
TBC1D30,0
IMPDH1,0
SEMA3C,0
KDR,0
ARSG,0
KLF6,0
BAMBI,0
OR2AE1,6
FBN1,0
ATOH7,0
KATNAL2,1
ANXA5,0
HSPH1,14
LDHA,0
MEG3,0
MYL9,0
HOOK1,0
IGSF5,8
GNAI1,0
PLCD4,4
PRR11,0
EMP2,0
BLCAP,0
MYOCD,0
KSR1,0
DDX25,0
SNORA28,2
ESYT2,0
RAB3B,5
FLJ38109,0
HOXB3,0
HIST1H2BH,0
NCAM2,0
DSCAM,0
C9orf131,0
FBXO32,0
ST5,0
SHROOM3,1
DUSP5,0
IPCEF1,0
SNORA42,2
KCNK10,4
CENPF,0
RGS7BP,0
MTNR1A,0
RAB9B,0
TNFRSF17,17
NRSN1,0
AFMID,0
JAZF1,0
C1orf228,0
DNA2,0
PLA2G16,0
OLIG2,0
PODN,3
SLC2A12,0
C6orf155,5
OR2L3,3
RADIL,0
PTPRK,0
MGST2,6
NFATC2,0
SLC41A2,0
TCEAL2,0
SYBU,0
NR5A2,0
MGC45800,0
NR2F1,0
SLC7A5,12
OR10C1,0
MRAP2,0
SLC35D2,2
TP53INP2,0
CAPS2,1
PLA2G5,0
GUCY2D,0
NAP1L2,0
DNER,0
CKS2,0
FDFT1,0
XKR6,0
PLSCR1,5
CLIC1,0
CSPG4P5,0
ACP6,0
PRMT8,0
DNM1,0
LOC162632,9
KLHL3,3
DDAH1,5
PAPSS1,0
SLC29A1,0
F13A1,0
SLC35F3,0
TPRG1,1
CGNL1,0
CSMD2,0
PPP2R3A,0
FSTL4,0
FAM163A,7
ZNF781,5
SLC43A1,0
CRTAC1,0
ID4,0
BHLHE41,0
ZNF273,0
MAFF,0
ADAMTS3,0
GCNT4,0
TYRO3,0
CDC42EP3,1
COBL,3
ACVR1,0
RHOBTB1,0
NUDT16,2
SLC7A1,5
FAM133A,0
NIPSNAP3B,0
STEAP2,2
DCN,0
LPAL2,1
PDE6G,0
SKAP2,0
LIN28B,0
CLIP2,0
FLVCR2,2
ADAMTS9,1
DLG5,0
NALCN,0
SCRN1,1
EFNA3,0
FAM65A,0
PCDHB4,2
NPY2R,8
FMOD,0
CDH24,0
DPF3,0
